"screen_name","retweet_screen_name"
"7prince_fiyaa","CBIpictures"
"7prince_fiyaa","CGV_ID"
"kimjeonjkv22_",NA
"pkjmbia","Univers_Bangtan"
"xpensivehobi",NA
"jjimimtot",NA
"taegyurlove","almostdita"
"pjcimin","chizikook_"
"pjcimin",NA
"belife_goes",NA
"KsDiana92","BTStranslation_"
"95KVKIM",NA
"jinnamuxta2","JEONBAM_JK"
"bananasyaaa","CBIpictures"
"netsskth","CGV_ID"
"cimoya_",NA
"grizz_boo",NA
"vvantesgguk",NA
"vntataae","vallerylia"
"tigabelasjunii","CGV_ID"
"joyjojyoo",NA
"jiminiegf13",NA
"bluesyzz","BtsarmyPeduli"
"WinterNnax","CBIpictures"
"Vantelattee","CGV_ID"
"Taegoogie071",NA
"RedTata99","CBIpictures"
"fateme_bts_2001","BTS_twt"
"hoonfavvs",NA
"Swantaee","CGV_ID"
"Jaehvkook","Jaehvkook"
"Jeonkhaa97","CGV_ID"
"myngi309",NA
"MYGIEZZ","CGV_ID"
"switbbiy",NA
"thyrsusjoon_","CGV_ID"
"fluffichim",NA
"pIwumiest",NA
