screen_name,mentions_screen_name
prodsugadearest,BTS_twt
qila_ssss,CGV_ID
92sfav,CGV_ID
laviedenoona,NA
laviedenoona,laviedenoona
laviedenoona,BTS_twt
laviedenoona,anothersteffi
laviedenoona,rahmdess27
laviedenoona,BTS_twt
laviedenoona,BIGHIT_MUSIC
alwaysadcember,CGV_ID
alwaysadcember,vallerylia
mylvhb,BTS_twt
mylvhb,BTS_twt
mylvhb,BTS_twt
mylvhb,BTS_twt
mylvhb,jinniesteacher
mylvhb,BTS_twt
mylvhb,BTS_twt
heeyunkijay,BTStranslation_
tetebreadlover,BTS_twt
Elia_Store_,graffitionmine
Elia_Store_,Wandahazna13
Elia_Store_,Elia_Store_
VKTH1_,CGV_ID
cutiefi_chimmy,CGV_ID
CyaluvOT7,prodsugadearest
CyaluvOT7,BTS_twt
onkthlights,dynamitebooms
onkthlights,BTS_twt
MechanMel,vallerylia
toorubreezvyg,laviedenoona
toorubreezvyg,BTS_twt
toorubreezvyg,laviedenoona
toorubreezvyg,laviedenoona
toorubreezvyg,BTS_twt
ppaarkjiminssi,CGV_ID
KompasEnt,NA
SeokjinEarth_,linetoday
saptaiita211,CBIpictures
saptaiita211,CGV_ID
abidaoraf,BTS_twt
abidaoraf,hollahalipah28
abidaoraf,BTS_twt
Cookiemeltz,laviedenoona
Cookiemeltz,BTS_twt
teewsragus,BTS_twt
ABCxBTS,BTStranslation_
ffebruaryeight,BTStranslation_
agustdsugamyg,BTStranslation_
geniuslabrawr,BTS_twt
jiminkiw,mcyxjm
jiminkiw,BTS_twt
fantaesiii,_peuupeuuu
fantaesiii,BTS_twt
zoeyourlight_,CGV_ID
xxtaekooklvl,chizikook_
_pjmmygs_,gbrlje
_pjmmygs_,BTS_twt
_pjmmygs_,BTS_twt
hqaechaan,vallerylia
fayluckyywin,utiindah
fayluckyywin,Kimnana1225
lissbangtan_,Univers_Bangtan
lissbangtan_,BTS_twt
zeharucein_,CGV_ID
jekeycutie,BTS_twt
tcaekook,tegikuks
tcaekook,BTS_twt
amlptrkth,CGV_ID
amlptrkth,CBIpictures
ILiveforOT7,BTStranslation_
scfthoseqk,ancijin_
kimvanrik,CBIpictures
ofcminggukie,BTS_twt
ofcminggukie,_euphodipity
ofcminggukie,puncakontol
pacarnyaleeknow,NA
Citradera,kompascom
VicenciaM44,BTSNewsBrasil
VicenciaM44,BTS_twt
heysulbee,Chimkyta113
heysulbee,BTS_twt
iceprincessjin,BTStranslation_
ksjwfe,mcyxjm
ksjwfe,BTS_twt
cutiebibble,_peuupeuuu
cutiebibble,BTS_twt
thatagomess7,BTSNewsBrasil
thatagomess7,BTS_twt
yoonshybogi,beyondzi
yoonshybogi,BTS_twt
sootophia,CGV_ID
ssmyggv,CGV_ID
HIO97JK,NA
KyualaBIue,BTS_twt
KyualaBIue,BTS_twt
oceanyeuci,CGV_ID
jeonjekeiy,BTS_twt
jeonjekeiy,BTS_twt
jeonjekeiy,BTS_twt
rockstarstae,CGV_ID
Vthehugfairy,BTStranslation_
Vthehugfairy,CyaluvOT7
Vthehugfairy,BTS_twt
estaemaniz,CBIpictures
estaemaniz,CGV_ID
skitpt7,BTS_twt
abcdefvoo,BTS_twt
Cellainax,mcyxjm
Cellainax,BTS_twt
laesposadeLoki,BTStranslation_
yuucards,vallerylia
boraoceanph,NA
dobbyliciousy,NA
jungtaeraa,BTS_twt
nqmkcck,BTS_twt
nqmkcck,stillwithjkokie
taedalkom,CGV_ID
kthcyjun_,mcyxjm
kthcyjun_,BTS_twt
sugakeren,BTS_twt
sugakeren,laviedenoona
sugakeren,BTS_twt
kimaruka_,BTS_twt
fiItervmins,BTStranslation_
Jora283,CBIpictures
Jk_mytimeee,taedyflowery
Jk_mytimeee,BTS_twt
taevkrsna,vallerylia
lauren_sis,refinasetiani
lauren_sis,BTS_twt
taeobroma,CGV_ID
Jjknumber1,CBIpictures
pcarablenyajk,BTS_twt
pcarablenyajk,laviedenoona
yeontann_v,7btsupdates
loubieeskoo,_peuupeuuu
loubieeskoo,BTS_twt
rsisepm,BTS_twt
rsisepm,aint_no_bummer
jiminiewiphe,CBIpictures
yuliafatfa_,CBIpictures
cuttietaeyong_,vallerylia
VXSAZEIN,CBIpictures
vk_bts_7,BTS_twt
chokooblue,BTS_PERSONA
chokooblue,BTS_PERSONA
taechancute,CBIpictures
penny_febrianti,CGV_ID
taedyflowery,Jk_mytimeee
taedyflowery,BTS_twt
kimtaenaj,CBIpictures
0T7_2013,BTStranslation_
jeonjungk_ok,CBIpictures
tsunderejinnie,CGV_ID
mochiiicaca,mcyxjm
mochiiicaca,BTS_twt
mcyxjm,BTS_twt
korncheese_89,bts_jin_0412
rvangoperasi,arthurkkun
rvangoperasi,memefess
justyoongiii,CGV_ID
san_warmindo,NA
bbearcart,sabcollectz
vhopeeland,CGV_ID
keep_strong10,BTStranslation_
nvdglno,NA
CherryCuwie,CBIpictures
kthbuys,NA
kimchii_2eet,BTS_twt
cherrygi_,BTS_twt
luvlyalien,NA
kookoophi,NA
purpleskymimi,CBIpictures
dedekniki,vallerylia
HanaJungha7,CBIpictures
HanaJungha7,CGV_ID
flwrkimtae,BTS_twt
flwrkimtae,BTS_twt
behbehtoh7012,HEReuphoriA__
behbehtoh7012,suhparkz
behbehtoh7012,kvmooncart
behbehtoh7012,bestboyleechan
behbehtoh7012,BTS_twt
M_JawaTimurCom,NA
HuriaKimV,BTStranslation_
bunnieskoou,CBIpictures
soft_babyBunny,BTS_twt
soft_babyBunny,BTS_twt
kth_Vlynn,CGV_ID
Aini14807991,littleejung
Aini14807991,BTS_twt
mochiminn_13,BTS_twt
majnvy,laviedenoona
majnvy,BTS_twt
elmariachimm,CGV_ID
mayadwii,CGV_ID
kimgukkies,CGV_ID
jjvorezzy,BTS_twt
jjvorezzy,taesmug
Husna0721,CGV_ID
capricofrn,CBIpictures
putrigum1,chizikook_
Masy6596,CGV_ID
sweetaepea,BTStranslation_
i1365244_,BTS_twt
kkyumicart,BTS_twt
gguksiast,BTS_twt
gguksiast,prncskrnn
gguksiast,BTS_twt
gguksiast,KVF4IRY
mnyygi,BTS_twt
Taehopeee_,laviedenoona
Taehopeee_,BTS_twt
ourkookoo,BTS_twt
raarawwrr,BTS_twt
deniadea,NA
summeertha,vallerylia
rraxkth,CGV_ID
vvantaaa,BTS_twt
fancythv_,BTS_twt
Bts7_1398,CGV_ID
dompetbangpdnim,CGV_ID
siscenery,pacarbighit
Betakookmin,Univers_Bangtan
Betakookmin,BTS_twt
NhiiNoonaa,chizikook_
Amalyaa_V,laviedenoona
Amalyaa_V,BTS_twt
hoanginjun,NA
__lesourire,CGV_ID
__lesourire,CBIpictures
sourcandwy,CBIpictures
Taeaeee,CGV_ID
breanley,karaamelv
ggukkieyoon,pacarbighit
dearbtstwt,zeeehwan
jaypjs02,jjkjeya
jaypjs02,BTS_twt
Peupeu_twt,CGV_ID
shretaee,BTStranslation_
vaejekey,BTS_twt
AegyoK_FindsPH,NA
roseoulmount,NA
knjglxy,CGV_ID
taelvlz_,laviedenoona
taelvlz_,BTS_twt
purpleubts_army,Univers_Bangtan
purpleubts_army,BTS_twt
caseokmin,Curhatansuka
caseokmin,BTS_twt
caseokmin,Curhatansuka
caseokmin,BTS_twt
snoopyhobie,BTStranslation_
mymondly,BTS_twt
mymondly,BTS_twt
kthjeonggukk,CGV_ID
korean_shine,NA
winterbearkim_,BTS_PERSONA
winterbearkim_,BTS_PERSONA
itssofakelove,7btsupdates
gothicyuno,monitmiloow
nikollects,jimisells
aelazxa,CBIpictures
ShuchiPatt,CGV_ID
diahyislam,kompascom
sitisofiah613,CBIpictures
ggukwashere,CGV_ID
dionysusjean,zerooclockyk
ggukcaines,CGV_ID
cornelethic,CBIpictures
cornelethic,CGV_ID
prncskrnn,BTS_twt
jjwanjyope,JEONBAM_JK
kompascom,NA
webminie_,BTStranslation_
abllsputri_,CBIpictures
abllsputri_,CGV_ID
_butterproof,mylvhb
_butterproof,BTS_twt
Iamkerrberr,BTStranslation_
kookslate_,CGV_ID
pacarbighit,NA
MKTHJK,CBIpictures
agustdpromise,BTStranslation_
AulyaSalsabil16,BTS_twt
AulyaSalsabil16,BTS_twt
AulyaSalsabil16,jvstufff
93MYGII,NA
purplezu1,BTS_twt
siraah14,CBIpictures
siraah14,CGV_ID
ANGEL_KTH1,BTS_twt
ANGEL_KTH1,lusiddream4
sunghoonyst,vallerylia
kimber1316,BTS_twt
Strawbbypie,BTS_twt
btsupp,CGV_ID
Jveelovs,CGV_ID
heyaluvv,BTStranslation_
monitmiloow,NA
loveelyzss,BTStranslation_
fxrdaa,BTS_twt
biaaamartiins,Univers_Bangtan
biaaamartiins,BTS_twt
elgasstikaa,BTS_twt
elgasstikaa,dnjjkth
Aam_Els,yourtwinklel
Aam_Els,BTS_twt
sagurubby,CBIpictures
aestarchvv,CGV_ID
dionysuzz,NA
eunyoonease,CGV_ID
flowerjekey,CGV_ID
hai_dev7,BTS_twt
hai_dev7,bbrightvk_
ExpelliArmyy,rahmdess27
dimplekooo,BTSNewsBrasil
dimplekooo,BTS_twt
vvinterbear01,BTStranslation_
Ncilliaiu,CGV_ID
taehqy,littleejung
taehqy,BTS_twt
jeyhoppb,BtsarmyPeduli
jjkluvie_,CGV_ID
notteok,luvviabts
notteok,BTS_twt
notteok,innermosttt
ovrjoon,BTStranslation_
borahaecart,borahaecart
dindkm,CGV_ID
purpletanie7,CBIpictures
_sitisofiah_,CBIpictures
xandokkaa,BTSNewsBrasil
xandokkaa,BTS_twt
drsyub,BTStranslation_
lovemyevrythng,CGV_ID
Joy_Jungg,itsjjknunaa
Joy_Jungg,BTS_twt
jimisells,NA
punyasindy_,CGV_ID
armyapple7,BTStranslation_
nkoogie,BTS_PERSONA
ruthlimbong,CGV_ID
hafsahdw,CGV_ID
rahmdess27,laviedenoona
rahmdess27,anothersteffi
rahmdess27,BTS_twt
rahmdess27,BIGHIT_MUSIC
Ggukshrimp,CBIpictures
Ggukshrimp,CGV_ID
rkivednaa,CBIpictures
bearyytae,BTS_twt
yoonkia38,CGV_ID
jinniesteacher,mylvhb
jinniesteacher,BTS_twt
Vbora136,BTStranslation_
Kristine_jung18,CBIpictures
Kristine_jung18,BTStranslation_
Kristine_jung18,CGV_ID
rosie_bts7,BTStranslation_
taekooyakki,BTS_twt
rawrdrx,CGV_ID
RaRoseana,NA
tarabuble,CGV_ID
Dasuh95,vallerylia
Dasuh95,vallerylia
txhyngkimmm,CBIpictures
MeowUgi01,CBIpictures
joonjks,CGV_ID
kimsbangs,BTS_twt
btsswifeuu,CGV_ID
kim_kookiekoya,BTStranslation_
sugashiie,BTS_twt
JEZEHARU,BTS_twt
thslxk,BTS_twt
Cindyogita,CGV_ID
adriantifirda,laviedenoona
adriantifirda,BTS_twt
adriantifirda,laviedenoona
adriantifirda,BTS_twt
BTS_twtfashion,NA
jesseokjinn_,CGV_ID
vantetatae,CGV_ID
louissweettt,Univers_Bangtan
louissweettt,BTS_twt
namjoondita,CGV_ID
namjoondita,CBIpictures
joonpiterr,fluffichim
joonpiterr,BTS_twt
nonasendja,NA
J_inspiredbyBTS,BTStranslation_
solovelymoon,Univers_Bangtan
solovelymoon,BTS_twt
therapyphany,BTS_twt
poutyjini,rahmdess27
yoonqixgloss,BTS_PERSONA
vanteclaus,CGV_ID
vvvv_3012,CGV_ID
vvvv_3012,CBIpictures
cyalienj,CBIpictures
rizarisarija,ar_fazh
rizarisarija,rahmdess27
rizarisarija,BTS_twt
7prince_fiyaa,CBIpictures
7prince_fiyaa,CGV_ID
kimjeonjkv22_,BTS_twt
pkjmbia,Univers_Bangtan
pkjmbia,BTS_twt
xpensivehobi,snugglekoo
xpensivehobi,BTS_twt
jjimimtot,BTS_twt
taegyurlove,almostdita
taegyurlove,BTS_twt
pjcimin,chizikook_
pjcimin,laviedenoona
pjcimin,BTS_twt
belife_goes,BTS_twt
KsDiana92,BTStranslation_
95KVKIM,BTS_twt
jinnamuxta2,JEONBAM_JK
bananasyaaa,CBIpictures
netsskth,CGV_ID
cimoya_,littleejung
cimoya_,BTS_twt
grizz_boo,BTS_twt
vvantesgguk,BTS_twt
vntataae,vallerylia
tigabelasjunii,CGV_ID
joyjojyoo,BTS_twt
joyjojyoo,snwlight
jiminiegf13,bts_bighit
bluesyzz,BtsarmyPeduli
WinterNnax,CBIpictures
Vantelattee,CGV_ID
Taegoogie071,snugglekoo
Taegoogie071,BTS_twt
RedTata99,CBIpictures
fateme_bts_2001,BTS_twt
hoonfavvs,BTS_twt
hoonfavvs,thygjkk
Swantaee,CGV_ID
Jaehvkook,Jaehvkook
Jeonkhaa97,CGV_ID
myngi309,BTS_twt
MYGIEZZ,CGV_ID
switbbiy,BTS_twt
thyrsusjoon_,CGV_ID
fluffichim,BTS_twt
pIwumiest,NA
